mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_feat__Zc__use__rank,param_feat__abundance__use__rank,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.20446352958679198,0.013471807715681077,0.010458230972290039,0.001357777116487039,,,"{'feat__Zc__use__rank': None, 'feat__abundance__use__rank': None}",-178.3066491584958,-187.78733828925763,-177.38057113048708,-177.13852746580676,-172.24216689778325,-178.5710505883661,5.070187367483507,30
2.749845600128174,0.10730513248751486,0.024856424331665038,0.0028677051892664744,,phylum,"{'feat__Zc__use__rank': None, 'feat__abundance__use__rank': 'phylum'}",-76.03826920789523,-79.29766467876652,-80.96065389911624,-81.98647771758446,-77.50734022972317,-79.15808114661712,2.1783824898699,23
3.1657118797302246,0.19064919772407413,0.023477649688720702,0.0034893883747437802,,class,"{'feat__Zc__use__rank': None, 'feat__abundance__use__rank': 'class'}",-71.57704284344669,-76.83024602678607,-70.4794607785378,-83.46459666173038,-71.00867043900345,-74.67200334990089,4.9506345121574995,8
3.148672580718994,0.2105805849158419,0.027756547927856444,0.0015281147936968577,,order,"{'feat__Zc__use__rank': None, 'feat__abundance__use__rank': 'order'}",-73.28285495895838,-76.57408627001769,-72.29338182009546,-76.13155544444419,-69.01173216246556,-73.45872213119625,2.757324744124325,6
3.2760298252105713,0.24775910522247654,0.02732400894165039,0.003397835786201661,,family,"{'feat__Zc__use__rank': None, 'feat__abundance__use__rank': 'family'}",-71.97761104808741,-83.55537881575749,-78.52136467225898,-81.36719872695721,-71.76742000240603,-77.43779465309343,4.816760945468328,18
3.038958787918091,0.23454385115506016,0.03131861686706543,0.004425065793321414,,genus,"{'feat__Zc__use__rank': None, 'feat__abundance__use__rank': 'genus'}",-77.2080430772842,-84.5287924443551,-79.69224636218907,-79.77818739383422,-79.5825219350106,-80.15795824253465,2.387401579081852,24
2.852222728729248,0.14098752057272046,0.033428096771240236,0.0055057546200904025,phylum,,"{'feat__Zc__use__rank': 'phylum', 'feat__abundance__use__rank': None}",-81.71339377295928,-94.019193146671,-87.8065252889711,-87.89811687701233,-87.22447852160975,-87.7323415214447,3.8998242238102896,27
6.0135969638824465,0.16804184925728385,0.0319676399230957,0.004544956177676605,phylum,phylum,"{'feat__Zc__use__rank': 'phylum', 'feat__abundance__use__rank': 'phylum'}",-72.60208881488055,-77.6883475326801,-80.66975382649943,-80.15776825906114,-77.27603560947756,-77.67879880851976,2.864485824312883,19
6.617459011077881,0.393951422121488,0.03621616363525391,0.0037991573446845375,phylum,class,"{'feat__Zc__use__rank': 'phylum', 'feat__abundance__use__rank': 'class'}",-68.52744099935424,-76.18513732648222,-75.36691644175353,-76.73281407263487,-72.68806378488308,-73.9000745250216,3.024292036006082,7
6.50980167388916,0.4253739360252301,0.039619731903076175,0.0025081072481914655,phylum,order,"{'feat__Zc__use__rank': 'phylum', 'feat__abundance__use__rank': 'order'}",-72.12054338166466,-77.76468028622308,-75.30684285475661,-70.89251943888519,-66.55480919652823,-72.52787903161156,3.8383489652367992,2
6.40683798789978,0.412230472125245,0.03809266090393067,0.003286326161057984,phylum,family,"{'feat__Zc__use__rank': 'phylum', 'feat__abundance__use__rank': 'family'}",-71.62522711738222,-80.97740014409739,-75.98127787850771,-75.84173562598188,-71.29934929063377,-75.1449980113206,3.532124663346457,10
6.378330707550049,0.04715649063868242,0.041188621520996095,0.0011244567230716267,phylum,genus,"{'feat__Zc__use__rank': 'phylum', 'feat__abundance__use__rank': 'genus'}",-74.78658471416009,-85.24590297458055,-77.32992526970102,-79.03093483369419,-75.48251313157712,-78.37517218474258,3.7409876712834302,22
3.6086028575897218,0.15982105042830763,0.03550004959106445,0.0007707011025542365,class,,"{'feat__Zc__use__rank': 'class', 'feat__abundance__use__rank': None}",-85.00877420260882,-86.87827015732825,-87.05760214699391,-87.46647629459598,-83.44834052172686,-85.97189266465077,1.5185504967675074,26
6.383883476257324,0.5227701820033845,0.039189720153808595,0.0011086276944952443,class,phylum,"{'feat__Zc__use__rank': 'class', 'feat__abundance__use__rank': 'phylum'}",-76.53825121817931,-77.51906489535358,-80.20676515143808,-81.3640299640724,-70.490257505582,-77.22367374692507,3.793081548957649,16
6.994332647323608,0.5738756757350734,0.04241137504577637,0.0022010730416030396,class,class,"{'feat__Zc__use__rank': 'class', 'feat__abundance__use__rank': 'class'}",-69.4494613219861,-75.39117985658591,-74.46459691235202,-79.30312813523274,-68.26179404945262,-73.37403205512187,4.048447360506436,5
6.98809323310852,0.35414963488700485,0.03833298683166504,0.004605496607553657,class,order,"{'feat__Zc__use__rank': 'class', 'feat__abundance__use__rank': 'order'}",-72.55052758955568,-71.51232572363061,-74.17927712087094,-77.25591720030562,-67.06066051999632,-72.51174163087182,3.346714754131298,1
7.0313694953918455,0.5435697367550846,0.040079689025878905,0.0053974612434274085,class,family,"{'feat__Zc__use__rank': 'class', 'feat__abundance__use__rank': 'family'}",-75.41859806443244,-81.1038405826826,-73.29969052695594,-75.26236141163143,-69.22756760488365,-74.86241163811721,3.837142243450116,9
6.773396348953247,0.26867843549486226,0.04326705932617188,0.009053356835724414,class,genus,"{'feat__Zc__use__rank': 'class', 'feat__abundance__use__rank': 'genus'}",-78.91670192057121,-78.03250774833406,-77.92062787043051,-78.80870222095704,-75.92236761774517,-77.9201814756076,1.075769465417842,20
3.922164487838745,0.4242570291473198,0.03516845703125,0.002722166786847104,order,,"{'feat__Zc__use__rank': 'order', 'feat__abundance__use__rank': None}",-91.07905785377841,-90.83995053029756,-84.22357869728755,-92.59022986800301,-83.94781480849134,-88.53612635157157,3.684033981389802,28
6.675193500518799,0.2604839055514103,0.039900016784667966,0.005530555117272183,order,phylum,"{'feat__Zc__use__rank': 'order', 'feat__abundance__use__rank': 'phylum'}",-76.95523131452526,-78.60352860083297,-80.40169318222415,-77.66898748941563,-73.55304915020622,-77.43649794744086,2.2592559326542476,17
7.358633041381836,0.3680613394812543,0.04342055320739746,0.00111318591010192,order,class,"{'feat__Zc__use__rank': 'order', 'feat__abundance__use__rank': 'class'}",-70.90938311979664,-79.4024605770678,-72.75557464191508,-80.14092756466692,-73.1443752575134,-75.27054423219197,3.759222240928949,11
7.371502113342285,0.3913309531495507,0.04296555519104004,0.0005593379256716763,order,order,"{'feat__Zc__use__rank': 'order', 'feat__abundance__use__rank': 'order'}",-73.40325893805134,-77.13672186302317,-72.86938848505976,-74.3027687203839,-67.28611311151055,-72.99965022360574,3.213653808751401,4
7.32138671875,0.46828707707946754,0.04227738380432129,0.005028565385467209,order,family,"{'feat__Zc__use__rank': 'order', 'feat__abundance__use__rank': 'family'}",-73.9702921163417,-83.51345998315331,-75.00145454884033,-81.92503815508059,-69.5168886194364,-76.78542668457047,5.208094141953269,13
6.7545593738555905,0.4752884675674861,0.04289565086364746,0.006387842619574159,order,genus,"{'feat__Zc__use__rank': 'order', 'feat__abundance__use__rank': 'genus'}",-78.38069356284073,-80.04729158657699,-74.99714328236333,-78.6295430083593,-73.75747595481941,-77.16242947899195,2.3766022671416476,15
3.766197347640991,0.08677496689883958,0.037788915634155276,0.0021160814274677614,family,,"{'feat__Zc__use__rank': 'family', 'feat__abundance__use__rank': None}",-86.6889125812404,-94.05864818308059,-87.3479598802614,-93.35655668061287,-90.09165804367555,-90.30874707377416,3.0089031867014726,29
6.373506879806518,0.2839818458736376,0.038392257690429685,0.0065108065536924825,family,phylum,"{'feat__Zc__use__rank': 'family', 'feat__abundance__use__rank': 'phylum'}",-76.15779593009235,-77.26283734067327,-75.77605436090035,-80.72592812351557,-74.45344857604007,-76.87521286624433,2.1244311936711004,14
7.279742908477783,0.14578921601922726,0.0427548885345459,0.00188653376748828,family,class,"{'feat__Zc__use__rank': 'family', 'feat__abundance__use__rank': 'class'}",-71.20438788017425,-79.93919078731622,-72.66455664752431,-81.77933082991915,-71.2852588497391,-75.37454499893461,4.545630455373595,12
7.295261430740356,0.6390204149741335,0.04500565528869629,0.0010780535915912949,family,order,"{'feat__Zc__use__rank': 'family', 'feat__abundance__use__rank': 'order'}",-74.31945049030828,-74.76557900392224,-70.63951256086717,-74.76767452742554,-69.16196324046155,-72.73083596459695,2.3631789089476474,3
7.470980930328369,0.4831240541100667,0.03886146545410156,0.006994512454201195,family,family,"{'feat__Zc__use__rank': 'family', 'feat__abundance__use__rank': 'family'}",-77.28466654396829,-83.62905121189047,-76.67658445619327,-81.10752285657686,-72.62078336997531,-78.26372168772085,3.7998492710896636,21
5.419528150558472,0.9503328933216526,0.02968912124633789,0.008059001420880185,family,genus,"{'feat__Zc__use__rank': 'family', 'feat__abundance__use__rank': 'genus'}",-80.00008747036829,-86.35861411420403,-77.63006401937965,-83.04768138052154,-80.25072587385309,-81.45743457166532,2.9926315383226,25
