mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_selectfeatures__Zc,param_selectfeatures__abundance,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
5.4696189880371096,0.18055182833665936,0.04516844749450684,0.005320826310153621,phylum,phylum,"{'selectfeatures__Zc': 'phylum', 'selectfeatures__abundance': 'phylum'}",-92.53320776991968,-100.96728190576214,-97.94773869906791,-96.75061635928937,-91.78571117945944,-95.99691118269972,3.429572317811896,20
5.423385763168335,0.31745777371322653,0.054106616973876955,0.004682512585754446,phylum,class,"{'selectfeatures__Zc': 'phylum', 'selectfeatures__abundance': 'class'}",-81.96870169196528,-88.91730978317632,-91.51998396958138,-89.24576510597056,-87.32497021569603,-87.7953461532779,3.2064461195842324,15
5.388683605194092,0.3988804003943375,0.05877928733825684,0.009148623976594715,phylum,order,"{'selectfeatures__Zc': 'phylum', 'selectfeatures__abundance': 'order'}",-76.40809685734595,-87.37739280515217,-80.67932281531527,-80.58262382234236,-76.80490716833934,-80.37046869369901,3.9408376198813815,3
5.6508019924163815,0.5552279376258384,0.06070098876953125,0.007786371720005313,phylum,family,"{'selectfeatures__Zc': 'phylum', 'selectfeatures__abundance': 'family'}",-72.28299174567825,-88.62630676159422,-79.1026807365771,-80.0294674237588,-74.25267102745758,-78.8588235390132,5.6796444725888025,1
5.52517352104187,0.4584561003144189,0.06055717468261719,0.003133160593672843,phylum,genus,"{'selectfeatures__Zc': 'phylum', 'selectfeatures__abundance': 'genus'}",-81.97465799184889,-83.63803144447634,-82.35839768779087,-84.39652648582556,-76.98769163216795,-81.87106104842192,2.592129867055913,8
5.247733640670776,0.5055521870305926,0.048772668838500975,0.006916299549071947,class,phylum,"{'selectfeatures__Zc': 'class', 'selectfeatures__abundance': 'phylum'}",-89.1031186205523,-95.70094150410141,-93.5544282962558,-91.98580577233253,-87.8578735946093,-91.64043355757026,2.864126728107469,17
5.8595850467681885,0.19285692675168564,0.06123995780944824,0.00985261926975729,class,class,"{'selectfeatures__Zc': 'class', 'selectfeatures__abundance': 'class'}",-83.7895827558639,-91.82577881717799,-90.29764337516747,-87.88273363669576,-84.97675806947495,-87.75449933087603,3.049450845148456,14
5.680700254440308,0.4721594618239631,0.0680152416229248,0.012732777672798597,class,order,"{'selectfeatures__Zc': 'class', 'selectfeatures__abundance': 'order'}",-79.28672114883055,-87.710859175006,-82.63058490847088,-83.79040849263905,-79.43861776352428,-82.57143829769414,3.1147059206041976,12
5.959020042419434,0.3212408880093314,0.07096829414367675,0.002327732769667331,class,family,"{'selectfeatures__Zc': 'class', 'selectfeatures__abundance': 'family'}",-73.3401504811202,-84.83320010989598,-85.12439632812776,-81.60336574779392,-79.96232457574382,-80.97268744853633,4.285194358258263,7
5.794504261016845,0.6087990423123886,0.06967964172363281,0.0023804275388704084,class,genus,"{'selectfeatures__Zc': 'class', 'selectfeatures__abundance': 'genus'}",-74.30779656303248,-89.25415190656415,-82.91415110442999,-83.1992699023596,-79.91503959937776,-81.9180818151528,4.865801908560578,9
5.554354619979859,0.433452811590954,0.05904154777526856,0.006348522436236243,order,phylum,"{'selectfeatures__Zc': 'order', 'selectfeatures__abundance': 'phylum'}",-92.73683795725238,-98.54519967210886,-90.52395495929058,-99.38006287700553,-91.54510705746931,-94.54623250462532,3.682853070783333,19
6.18022084236145,0.11390562617730966,0.07276978492736816,0.002475458884830553,order,class,"{'selectfeatures__Zc': 'order', 'selectfeatures__abundance': 'class'}",-85.9697779266681,-93.61526985485092,-88.07023889726099,-92.20368866169096,-85.3740500025091,-89.04660506859602,3.3090086617664602,16
5.935302686691284,0.37856533392965785,0.06965827941894531,0.008489027707277025,order,order,"{'selectfeatures__Zc': 'order', 'selectfeatures__abundance': 'order'}",-76.0543222442637,-89.69868891917912,-80.43957576696235,-86.44563666481416,-77.25457264320868,-81.9785592476856,5.278944713884099,11
5.9479986190795895,0.426999927262111,0.07711443901062012,0.005146793906707346,order,family,"{'selectfeatures__Zc': 'order', 'selectfeatures__abundance': 'family'}",-72.32588825059203,-86.94651898370635,-80.7871272514386,-89.06566048900227,-73.52971468027282,-80.53098193100242,6.78832482441184,4
6.0274192810058596,0.5573771040473288,0.0714573860168457,0.010030134994459303,order,genus,"{'selectfeatures__Zc': 'order', 'selectfeatures__abundance': 'genus'}",-76.11110994011122,-83.45867981822963,-86.36983649131108,-83.01437916119468,-80.66468091232524,-81.92373726463437,3.425936544505999,10
5.579298067092895,0.7938681277469416,0.06344990730285645,0.008504036300852204,family,phylum,"{'selectfeatures__Zc': 'family', 'selectfeatures__abundance': 'phylum'}",-88.93945707466767,-96.08548979507923,-93.89610621092632,-94.19079009169725,-90.89650773321753,-92.8016701811176,2.547832397897223,18
5.883216619491577,0.3897322672644899,0.07233824729919433,0.01067893045127069,family,class,"{'selectfeatures__Zc': 'family', 'selectfeatures__abundance': 'class'}",-82.26863919462198,-91.33874507004529,-85.81158505843251,-87.56640746768491,-83.68836923411587,-86.13474920498011,3.167561680044678,13
6.2986412525177,0.3619112220383386,0.07838892936706543,0.010246234156840228,family,order,"{'selectfeatures__Zc': 'family', 'selectfeatures__abundance': 'order'}",-73.97143951749243,-83.83025480694957,-82.29113214481936,-86.31343835327674,-77.19474916437198,-80.72020279738202,4.50331334968087,6
