mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_keeptoptaxa__n,param_selectfeatures__Zc,param_selectfeatures__abundance,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
9.273783540725708,0.3855801334209851,0.04827966690063477,0.0024338839480850557,310,,order,"{'keeptoptaxa__n': 310, 'selectfeatures__Zc': None, 'selectfeatures__abundance': 'order'}",-68.28067390155873,-75.60394574252108,-74.02225098991022,-75.60830464323548,-67.10367700705575,-72.12377045685625,3.6831659269561094,38
9.172410774230958,0.983093656432379,0.04571852684020996,0.006687927614968024,320,,order,"{'keeptoptaxa__n': 320, 'selectfeatures__Zc': None, 'selectfeatures__abundance': 'order'}",-69.31103490707414,-73.75292129309412,-72.24279833033995,-73.29967897321755,-65.25508643522697,-70.77230398779055,3.1625639692401624,5
9.40928144454956,1.0217188912076351,0.04716715812683105,0.008282180566010905,330,,order,"{'keeptoptaxa__n': 330, 'selectfeatures__Zc': None, 'selectfeatures__abundance': 'order'}",-68.60508751437033,-76.45344614282332,-71.97513037314147,-73.81833544323479,-66.49819140612377,-71.47003817593873,3.5645806413494086,25
10.356588315963744,0.08123732592605544,0.0523735523223877,0.0023765691813114336,340,,order,"{'keeptoptaxa__n': 340, 'selectfeatures__Zc': None, 'selectfeatures__abundance': 'order'}",-69.16427698873446,-76.0480001276879,-72.22307193518213,-72.64515037480004,-68.19474159717363,-71.65504820471563,2.7849108758336896,29
10.272083473205566,1.009762153970374,0.04662289619445801,0.008521160108545313,350,,order,"{'keeptoptaxa__n': 350, 'selectfeatures__Zc': None, 'selectfeatures__abundance': 'order'}",-67.1960702393091,-75.5418570499696,-72.58884826601323,-73.02784327367787,-68.36663411363213,-71.34425058852038,3.1008710967934543,22
10.788765239715577,0.24661303751341648,0.05187644958496094,0.002604125550584696,360,,order,"{'keeptoptaxa__n': 360, 'selectfeatures__Zc': None, 'selectfeatures__abundance': 'order'}",-68.80838308575896,-77.10549644831428,-72.63529823637238,-73.42206041712485,-67.79834298837079,-71.95391623518825,3.3562382295238575,35
10.94755654335022,1.1277404075690638,0.0453455924987793,0.008072310212848948,370,,order,"{'keeptoptaxa__n': 370, 'selectfeatures__Zc': None, 'selectfeatures__abundance': 'order'}",-68.01154810506173,-75.98514381286583,-72.95751384206427,-70.97811141690066,-67.31511689106401,-71.0494868135913,3.1994050046276596,12
10.692069721221923,0.9976122171747717,0.046166419982910156,0.0092446978296476,380,,order,"{'keeptoptaxa__n': 380, 'selectfeatures__Zc': None, 'selectfeatures__abundance': 'order'}",-67.00566190026436,-76.59991548323158,-72.30423511653747,-71.65581024709547,-67.76655543971651,-71.06643563736908,3.460578039825289,14
12.011262464523316,0.7162987238307721,0.05319399833679199,0.007346042903423847,390,,order,"{'keeptoptaxa__n': 390, 'selectfeatures__Zc': None, 'selectfeatures__abundance': 'order'}",-67.96027703878447,-76.2491416724389,-72.4975312812953,-71.60644566230019,-67.76108969652488,-71.21489707026873,3.15161598098382,20
11.826357793807983,0.9892000812700223,0.05275096893310547,0.008480827311957281,400,,order,"{'keeptoptaxa__n': 400, 'selectfeatures__Zc': None, 'selectfeatures__abundance': 'order'}",-68.48820478305053,-78.47484625228998,-72.63352307058393,-71.58106119049692,-67.31637900870307,-71.69880286102489,3.9068122005321935,31
12.39116096496582,1.0717051807434774,0.05565266609191895,0.00985739487880875,410,,order,"{'keeptoptaxa__n': 410, 'selectfeatures__Zc': None, 'selectfeatures__abundance': 'order'}",-69.43778784371548,-79.22282221864752,-72.13414615056188,-70.98183889604073,-68.06652786600849,-71.96862459499481,3.8795881252529414,36
12.481116724014282,1.4031810730956766,0.05535745620727539,0.009409025378234268,420,,order,"{'keeptoptaxa__n': 420, 'selectfeatures__Zc': None, 'selectfeatures__abundance': 'order'}",-69.07047552441189,-76.07730240814838,-73.46846377561172,-71.12132171713942,-66.22802789482674,-71.19311826402763,3.411607869298182,18
13.236144256591796,1.267307690769375,0.06321320533752442,0.004410158999065405,430,,order,"{'keeptoptaxa__n': 430, 'selectfeatures__Zc': None, 'selectfeatures__abundance': 'order'}",-68.24825257065925,-76.46198466757109,-73.75712031850956,-70.73972864741592,-67.98899996050646,-71.43921723293246,3.2611778976524786,23
13.796325635910033,0.5309991906597121,0.0638810157775879,0.0024370300552181917,440,,order,"{'keeptoptaxa__n': 440, 'selectfeatures__Zc': None, 'selectfeatures__abundance': 'order'}",-69.40079145022311,-77.41720805031579,-73.9588760740176,-70.23416331275834,-68.61104801585155,-71.92441738063329,3.3019338186619893,33
13.688325500488281,1.2968839104015903,0.060642147064208986,0.008094943750207428,450,,order,"{'keeptoptaxa__n': 450, 'selectfeatures__Zc': None, 'selectfeatures__abundance': 'order'}",-68.92876783945653,-76.58022386069808,-72.90527787643532,-70.06725163272463,-65.71271043694155,-70.83884632925123,3.681156956640408,9
13.649358797073365,1.5094406509757885,0.06250019073486328,0.00942330805746997,460,,order,"{'keeptoptaxa__n': 460, 'selectfeatures__Zc': None, 'selectfeatures__abundance': 'order'}",-69.60326601229919,-75.62206902661384,-74.20765416455248,-69.84008521377416,-66.23736168808972,-71.10208722106589,3.393507040110826,15
14.24511022567749,1.6188629029376067,0.059813308715820315,0.008694101109831303,470,,order,"{'keeptoptaxa__n': 470, 'selectfeatures__Zc': None, 'selectfeatures__abundance': 'order'}",-69.93566276224225,-77.10692259504903,-74.19084294639086,-70.97152732553825,-65.65211495334597,-71.57141411651327,3.887850582231627,28
14.604014015197754,0.7417287280139985,0.06645059585571289,0.0026021268398315252,480,,order,"{'keeptoptaxa__n': 480, 'selectfeatures__Zc': None, 'selectfeatures__abundance': 'order'}",-69.40015239489776,-77.48319202326205,-70.46245115621895,-70.71071475305577,-67.21568507143779,-71.05443907977447,3.4429684080774057,13
15.34055962562561,0.9820547661743032,0.06056523323059082,0.010086558750241274,490,,order,"{'keeptoptaxa__n': 490, 'selectfeatures__Zc': None, 'selectfeatures__abundance': 'order'}",-69.37136709763382,-75.04225670464623,-70.15921401858598,-70.14317284800424,-65.41504919407893,-70.02621197258983,3.0621468980043454,1
12.933920001983642,2.409141154214734,0.03516340255737305,0.013206188456654772,500,,order,"{'keeptoptaxa__n': 500, 'selectfeatures__Zc': None, 'selectfeatures__abundance': 'order'}",-69.28956519090437,-75.2565285918372,-69.96782043792373,-70.59697684247169,-65.26286608738981,-70.07475143010535,3.19079069053196,2
