mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_keeptoptaxa__n,param_reduce_dim__n_components,param_selectfeatures__Zc,param_selectfeatures__abundance,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
2.8141836166381835,0.3952793449946043,0.06296210289001465,0.010187358856495786,500,50,family,family,"{'keeptoptaxa__n': 500, 'reduce_dim__n_components': np.int64(50), 'selectfeatures__Zc': 'family', 'selectfeatures__abundance': 'family'}",-76.25338850790456,-86.6998971795087,-75.5875143627986,-80.51648399295736,-78.66437776653571,-79.54433236194099,3.9851782110925162,37
3.055228900909424,0.3060863876492967,0.06450204849243164,0.011847379445782276,500,55,family,family,"{'keeptoptaxa__n': 500, 'reduce_dim__n_components': np.int64(55), 'selectfeatures__Zc': 'family', 'selectfeatures__abundance': 'family'}",-74.1231031136562,-84.39846998941798,-77.52005599536432,-81.24737370498389,-75.69021022896956,-78.59584260647839,3.7498404400217695,19
3.115923452377319,0.524835578758522,0.07178406715393067,0.006358930785239041,500,60,family,family,"{'keeptoptaxa__n': 500, 'reduce_dim__n_components': np.int64(60), 'selectfeatures__Zc': 'family', 'selectfeatures__abundance': 'family'}",-74.22137016400941,-86.26630081440182,-79.4346242719838,-81.53064045506285,-76.62376781736765,-79.61534070456511,4.146823566965404,38
3.643584156036377,0.03627101933346711,0.07211966514587402,0.003917085103216436,500,65,family,family,"{'keeptoptaxa__n': 500, 'reduce_dim__n_components': np.int64(65), 'selectfeatures__Zc': 'family', 'selectfeatures__abundance': 'family'}",-74.62670827083062,-85.86452555176473,-77.16036500010308,-80.2620905641019,-75.57552508509121,-78.69784289437831,4.061897462628619,20
3.3444923400878905,0.6399472641107744,0.06309018135070801,0.010486145860607032,500,70,family,family,"{'keeptoptaxa__n': 500, 'reduce_dim__n_components': np.int64(70), 'selectfeatures__Zc': 'family', 'selectfeatures__abundance': 'family'}",-73.8543887551162,-86.30229598899477,-77.48109394571536,-79.50503950026702,-77.12986594084161,-78.854536826187,4.141366586465913,26
3.7882022857666016,0.4978627435622042,0.07304277420043945,0.010150355078327403,500,75,family,family,"{'keeptoptaxa__n': 500, 'reduce_dim__n_components': np.int64(75), 'selectfeatures__Zc': 'family', 'selectfeatures__abundance': 'family'}",-71.51718846807164,-83.81804434084472,-79.5159374611358,-80.72660264280088,-75.62482684832084,-78.24051995223479,4.265234153752516,9
4.275058031082153,0.02238976590707077,0.07676215171813965,0.0036903904317100193,500,80,family,family,"{'keeptoptaxa__n': 500, 'reduce_dim__n_components': np.int64(80), 'selectfeatures__Zc': 'family', 'selectfeatures__abundance': 'family'}",-74.00647982668822,-83.60850404797726,-78.37958524661961,-82.95408172579651,-72.67981314575745,-78.32569279856781,4.469105971108949,11
3.9404611587524414,0.7361590331083495,0.06768388748168945,0.013452399571105268,500,85,family,family,"{'keeptoptaxa__n': 500, 'reduce_dim__n_components': np.int64(85), 'selectfeatures__Zc': 'family', 'selectfeatures__abundance': 'family'}",-73.67663565212774,-84.77108549010526,-79.6954739709673,-79.04693069420938,-73.03347540080807,-78.04472024164355,4.316622312822551,7
4.355744218826294,0.5921389438314624,0.0734623908996582,0.009224066034586621,500,90,family,family,"{'keeptoptaxa__n': 500, 'reduce_dim__n_components': np.int64(90), 'selectfeatures__Zc': 'family', 'selectfeatures__abundance': 'family'}",-74.39716333763918,-86.36683380351796,-77.01061571219674,-81.4524693612399,-72.85556445516067,-78.41652933395089,4.929107414439104,13
4.854731273651123,0.03872837208323592,0.07774820327758789,0.002190860372253498,500,95,family,family,"{'keeptoptaxa__n': 500, 'reduce_dim__n_components': np.int64(95), 'selectfeatures__Zc': 'family', 'selectfeatures__abundance': 'family'}",-73.3509126427074,-83.44410176270878,-79.22288132669873,-84.30917078850992,-73.89694489417349,-78.84480228295965,4.600433430693717,25
