mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_keeptoptaxa__n,param_reduce_dim__n_components,param_selectfeatures__Zc,param_selectfeatures__abundance,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.9706284523010253,0.03069421675646401,0.04944777488708496,0.010046080589147726,500,50,,family,"{'keeptoptaxa__n': 500, 'reduce_dim__n_components': np.int64(50), 'selectfeatures__Zc': None, 'selectfeatures__abundance': 'family'}",-70.92320733387939,-85.04771823099715,-82.15416548622618,-83.26348482250508,-80.52192277564698,-80.38209972985096,4.953802356534405,41
2.0803959369659424,0.22964706882080319,0.039063453674316406,0.0013026675218276089,500,55,,family,"{'keeptoptaxa__n': 500, 'reduce_dim__n_components': np.int64(55), 'selectfeatures__Zc': None, 'selectfeatures__abundance': 'family'}",-72.10264171975999,-85.73355730249764,-79.74937334435717,-80.47714817992653,-79.8875891908931,-79.59006194748687,4.352121813762531,36
2.333787536621094,0.0572793756200732,0.038607215881347655,0.003173478990932994,500,60,,family,"{'keeptoptaxa__n': 500, 'reduce_dim__n_components': np.int64(60), 'selectfeatures__Zc': None, 'selectfeatures__abundance': 'family'}",-69.74088232093708,-85.65133792230105,-80.14478646383942,-84.5116890150659,-77.9316956391074,-79.59607827225015,5.67495437641964,38
2.286727285385132,0.252476764994925,0.03627481460571289,0.005004370705624295,500,65,,family,"{'keeptoptaxa__n': 500, 'reduce_dim__n_components': np.int64(65), 'selectfeatures__Zc': None, 'selectfeatures__abundance': 'family'}",-68.32616478634444,-87.37163661335926,-79.06962928843326,-85.3700371295251,-77.8243041707094,-79.59235439767428,6.696642756554032,37
2.419826602935791,0.2694247546766039,0.04048423767089844,0.00462060280330107,500,70,,family,"{'keeptoptaxa__n': 500, 'reduce_dim__n_components': np.int64(70), 'selectfeatures__Zc': None, 'selectfeatures__abundance': 'family'}",-68.72967468976506,-85.93987181474627,-81.0053186437968,-83.774574394991,-76.41131836410732,-79.1721515814813,6.115756013390336,29
2.7299513816833496,0.14968657592147724,0.03771023750305176,0.0035881234455578566,500,75,,family,"{'keeptoptaxa__n': 500, 'reduce_dim__n_components': np.int64(75), 'selectfeatures__Zc': None, 'selectfeatures__abundance': 'family'}",-68.99190759465965,-88.88519222006553,-79.54420284945276,-82.94629843784521,-80.1220525861726,-80.09793073763915,6.464984290874028,40
2.7507758140563965,0.373115383039317,0.039258718490600586,0.00988463758594024,500,80,,family,"{'keeptoptaxa__n': 500, 'reduce_dim__n_components': np.int64(80), 'selectfeatures__Zc': None, 'selectfeatures__abundance': 'family'}",-68.34795841781226,-87.73027609063692,-78.92678314259216,-81.09390209181443,-77.23547602194618,-78.66687915296038,6.271079564814685,21
3.2463480949401857,0.2074665428130599,0.03920612335205078,0.005673555317981652,500,85,,family,"{'keeptoptaxa__n': 500, 'reduce_dim__n_components': np.int64(85), 'selectfeatures__Zc': None, 'selectfeatures__abundance': 'family'}",-68.90027814054415,-83.01091021018935,-78.08037902044605,-80.9833446744021,-79.4593490493738,-78.08685221899108,4.87673965668539,12
3.305615949630737,0.17104289094890063,0.04096851348876953,0.0036926193288949016,500,90,,family,"{'keeptoptaxa__n': 500, 'reduce_dim__n_components': np.int64(90), 'selectfeatures__Zc': None, 'selectfeatures__abundance': 'family'}",-69.33312428098948,-84.6980435849935,-79.6231257141982,-83.09646622943008,-76.6074688657473,-78.6716457350717,5.445560222781902,22
3.4873743534088133,0.40288014858727966,0.04304003715515137,0.005611926456410113,500,95,,family,"{'keeptoptaxa__n': 500, 'reduce_dim__n_components': np.int64(95), 'selectfeatures__Zc': None, 'selectfeatures__abundance': 'family'}",-66.63389334126286,-82.23665856517859,-78.44845359981238,-83.3992152444558,-77.3357086803002,-77.61078588620197,5.935893144057919,3
3.7381241798400877,0.15725921635229437,0.039148998260498044,0.0072470805677199625,500,100,,family,"{'keeptoptaxa__n': 500, 'reduce_dim__n_components': np.int64(100), 'selectfeatures__Zc': None, 'selectfeatures__abundance': 'family'}",-67.74482378158964,-84.69924977814065,-77.25856898005006,-83.2572038782348,-76.5254206266711,-77.89705340893725,6.005961933952427,8
3.6472570419311525,0.4781866814087334,0.04359612464904785,0.006464830756883425,500,105,,family,"{'keeptoptaxa__n': 500, 'reduce_dim__n_components': np.int64(105), 'selectfeatures__Zc': None, 'selectfeatures__abundance': 'family'}",-69.11746005811627,-80.37649916355083,-79.58810495519323,-84.17618578347472,-76.55594443320447,-77.96283887870791,5.045651672668992,10
4.300107669830322,0.2768526333463394,0.05086750984191894,0.008572430139910499,500,110,,family,"{'keeptoptaxa__n': 500, 'reduce_dim__n_components': np.int64(110), 'selectfeatures__Zc': None, 'selectfeatures__abundance': 'family'}",-68.35402969373526,-84.49664361238057,-79.98689888956127,-85.59814865426706,-78.84763115672659,-79.45667040133415,6.116204490246304,34
4.865134000778198,0.23464192135532919,0.05497212409973144,0.005257005889888602,500,115,,family,"{'keeptoptaxa__n': 500, 'reduce_dim__n_components': np.int64(115), 'selectfeatures__Zc': None, 'selectfeatures__abundance': 'family'}",-68.39578301427308,-85.58488934133428,-79.03398639808057,-84.6766550825449,-78.73264958898592,-79.28479268504374,6.127017143674917,31
5.558139657974243,0.25708516154085786,0.05326375961303711,0.004958536066210575,500,120,,family,"{'keeptoptaxa__n': 500, 'reduce_dim__n_components': np.int64(120), 'selectfeatures__Zc': None, 'selectfeatures__abundance': 'family'}",-68.69461121892179,-84.31543625089644,-77.31657867218497,-85.12560818293662,-76.24756423695143,-78.33995971237826,6.003490987210839,16
5.791776704788208,0.219009578536962,0.0625112533569336,0.01346413290530147,500,125,,family,"{'keeptoptaxa__n': 500, 'reduce_dim__n_components': np.int64(125), 'selectfeatures__Zc': None, 'selectfeatures__abundance': 'family'}",-69.96931686457253,-84.83717393107659,-76.9896066066912,-82.61276126312764,-78.89728356077406,-78.6612284452484,5.14113378098047,20
6.513979387283325,0.28526873174264167,0.07555580139160156,0.031867249404361996,500,130,,family,"{'keeptoptaxa__n': 500, 'reduce_dim__n_components': np.int64(130), 'selectfeatures__Zc': None, 'selectfeatures__abundance': 'family'}",-68.5908024755873,-85.16228222290403,-80.3550809085862,-83.05916698568785,-75.57378121272954,-78.54822276109898,5.922105334993147,19
7.671368885040283,0.346134720688749,0.08152170181274414,0.01417867697978794,500,135,,family,"{'keeptoptaxa__n': 500, 'reduce_dim__n_components': np.int64(135), 'selectfeatures__Zc': None, 'selectfeatures__abundance': 'family'}",-65.7572111799874,-82.59994138852372,-81.22524901110089,-82.02686617812354,-77.94033354951782,-77.90992026145068,6.286910362940278,9
8.49677472114563,0.4991077460157356,0.06668415069580078,0.009385677931793093,500,140,,family,"{'keeptoptaxa__n': 500, 'reduce_dim__n_components': np.int64(140), 'selectfeatures__Zc': None, 'selectfeatures__abundance': 'family'}",-69.18872546768775,-83.15612992309515,-79.38290199359939,-81.99191706308821,-75.10246024902946,-77.76442693930001,5.102750585790065,5
8.148363161087037,0.27434998909972513,0.07580657005310058,0.010794272570947257,500,145,,family,"{'keeptoptaxa__n': 500, 'reduce_dim__n_components': np.int64(145), 'selectfeatures__Zc': None, 'selectfeatures__abundance': 'family'}",-69.06945443044079,-85.58368502784715,-78.09954215388045,-81.43084153414057,-77.37205517761988,-78.31111566478577,5.458165533582295,15
7.795631694793701,0.41285506858388404,0.07467794418334961,0.006950803356326262,500,150,,family,"{'keeptoptaxa__n': 500, 'reduce_dim__n_components': np.int64(150), 'selectfeatures__Zc': None, 'selectfeatures__abundance': 'family'}",-70.14386294379963,-83.9504559502462,-77.51362500793701,-79.43603367134116,-77.94850578450573,-77.79849667156596,4.454777267095048,7
7.079472208023072,0.12944589560000042,0.06692538261413575,0.011835180080393855,500,155,,family,"{'keeptoptaxa__n': 500, 'reduce_dim__n_components': np.int64(155), 'selectfeatures__Zc': None, 'selectfeatures__abundance': 'family'}",-65.96792039732497,-84.1917973570692,-78.21994322286257,-80.22765438239472,-78.10584706937247,-77.34263248580478,6.0986991482332025,1
7.43217134475708,0.15859606022692702,0.07022027969360352,0.008748985952530383,500,160,,family,"{'keeptoptaxa__n': 500, 'reduce_dim__n_components': np.int64(160), 'selectfeatures__Zc': None, 'selectfeatures__abundance': 'family'}",-70.04796915556666,-83.59953423940938,-77.78671235534541,-81.91938605815648,-75.50326153965833,-77.77137266962725,4.815994343845377,6
8.271063423156738,0.36936337101318933,0.07936010360717774,0.02699107349863559,500,165,,family,"{'keeptoptaxa__n': 500, 'reduce_dim__n_components': np.int64(165), 'selectfeatures__Zc': None, 'selectfeatures__abundance': 'family'}",-69.7506315545134,-84.70077706013008,-80.2462529499953,-81.49034429835778,-75.18381912681315,-78.27436499796194,5.2485263178413595,14
8.849630498886109,0.2850052995940803,0.08692913055419922,0.018955928483071385,500,170,,family,"{'keeptoptaxa__n': 500, 'reduce_dim__n_components': np.int64(170), 'selectfeatures__Zc': None, 'selectfeatures__abundance': 'family'}",-71.03087536334196,-84.46826191545291,-80.26374831904009,-81.87131240132223,-76.62621348819661,-78.85208229747077,4.66424259104216,25
8.631271886825562,0.47062660308535537,0.0627434253692627,0.010361937090702631,500,175,,family,"{'keeptoptaxa__n': 500, 'reduce_dim__n_components': np.int64(175), 'selectfeatures__Zc': None, 'selectfeatures__abundance': 'family'}",-67.62969069924748,-85.59304133938011,-77.21450262975048,-83.36668550706415,-76.21135612046476,-78.0030552591814,6.2899143313715555,11
